srno,Production
19,472.6829954999356
41,208.58245830670103
49,54.9739954961935
50,51606124.65522537
59,0.5152771258497275
61,473.1527499502815
89,5300.715279415269
91,26286.98818852516
100,192.44747830190437
111,870.2023656520967
127,1426.1303601240766
141,106.04075102749525
142,25.27122542394006
146,38.47248200228488
153,32870053.42665207
162,29.29176171359553
163,23219276.541515317
172,2425.6258855538504
201,205.21334655355793
227,40638.55123929603
230,9062.853451120545
233,12182.75414321819
266,12492.453813915092
269,1.8053510273361923
273,311.90464579363464
288,1384.6021739539417
316,64.45142546649215
321,59110.38673244804
338,9546.498034773262
339,6672.917309119402
378,121.5051019289434
382,427.95613813579115
386,145.40960930655174
395,183.43895340600997
398,1.8978173649181875
399,39.08755635124618
409,533.6622758469953
422,478.4671270043108
426,107366.08025181263
432,18.079076802335397
434,513.7464207524478
439,788.5113029568394
444,29277.47644356155
451,44377.10334421616
474,1294.1191570624665
475,900.0157625230935
482,57688.429122679176
511,759.9058288827639
514,27.405297492942427
520,891.9539644876711
523,16.469631550401846
554,30187.713583416964
560,8992.519110983905
568,3224127.227491114
574,15.045468249302253
579,5861.757974886758
603,26.810060057867386
611,22302.061592527785
702,1680.1872742046405
712,441720.0585386881
720,90247.7427819503
739,3508.2940397681314
742,13796.000044282348
744,278.9713397686203
755,63237.23716710472
763,676.2538289944598
766,1.0709967242900529
775,77.70295993768492
784,539488.0618819125
797,8444.841413685235
799,33022.26112039067
809,60256.52042665093
815,58479.24733157091
833,38384.67324836233
838,2276.389893836481
843,17.438355362696893
847,30852.201730467197
856,3.1579463811639705
857,5366.693057398967
890,1235.1608989475803
946,277.7373658146962
950,593.7907684573177
962,4437.399929315624
982,85747.44906930672
995,9565.107745398487
1004,2465.336392774831
1007,1012.7135673836206
1010,946.2046614963447
1015,283.87961424961156
1016,196.15473788215704
1027,319.0374189973896
1029,165272.98317081106
1041,126.95941978715786
1070,1906.6426449482146
1094,5658.46730273655
1101,132.76951452888383
1199,1166.5985497093586
1206,164.3954112196384
1241,1052.8486415966604
1272,1327.2587133665272
1277,3581.5377061481176
1298,60294.26848342223
1331,4560.529681252404
1341,715.5395241739202
1363,897.2509834468777
1371,34.05353924121762
1389,17.133728653122244
1400,3661449.2532249843
1404,671.4242344581301
1423,2566.9359356979185
1424,3462.9250146024115
1427,1235.7901610305867
1439,109.6056805444539
1443,45223.25828781628
1456,12359.139079905042
1457,2213695.5791599327
1488,4007.387654125981
1495,21026345.280694053
1506,175.37487013344597
1510,916.7359552920481
1529,1150.7085086753268
1530,38.20711738233349
1548,363.1392443257689
1549,82820.4682155716
1550,1815.970531945127
1567,1140.1268101453766
1584,3303.1324664305985
1593,77.2841806449716
1598,2370.3894573899215
1613,19.993405615733714
1615,64.71397064018996
1618,190.77250421758214
1619,243.63928785118162
1620,1.977175580750736
1623,2145.8872770179864
1626,17.63198762244367
1639,414.1702813156976
1647,18742.086455960183
1672,17.782660765242934
1674,50.343629676360685
1675,746.9130054596134
1709,3426.357159536285
1726,554.6651268924277
1735,1833.1650648474158
1740,319553.9461849152
1741,207.1709348745208
1745,4740.056582527615
1746,57.068199846936785
1747,1319.8061135642051
1750,7.208101903940426
1751,22148.51946846623
1754,306.89066146151055
1756,32.00849617847688
1759,99429.94624776296
1769,1360.1538150139982
1775,3120.8201065347644
1785,894.1513409946042
1799,326.17889676523413
1800,1008.9407513894906
1806,386.5227017535472
1830,515.4596790791435
1844,169.5493283207561
1845,1.049548632144072
1847,12.114852511299027
1860,1.9177241679060117
1901,1324.4035499036547
1905,16631.712290830692
1910,3085.3605435448594
1919,421.5687464723847
1944,802.3238911257276
1946,15256.904902983624
1963,73.51814039970274
1974,1667.950312001018
1979,3600.4565699996638
1982,1580.379209962298
1996,1487.9693152180232
2050,0.0
2053,1347874.8204871996
2060,1460.9786026636016
2133,5.240612904563719
2154,100.69201570545403
2157,318.71738306892684
2158,573681.3427655917
2161,165.0512558182744
2162,394.6201642746476
2174,888132.4252555344
2181,23.00122880906174
2182,19.710411956116943
2192,1915.5334073147233
2203,820091.8642472466
2214,1758.16906903759
2216,249.43062090632952
2217,124.40085442131272
2221,743720.507770935
2232,137.7296184933337
2245,203962.9086608129
2249,281.05529552831524
2253,97.173963786959
2257,120.52848614439218
2260,741.7545112069025
2261,601674.1529562662
2271,119.22174942457131
2273,4780.643485621321
2284,1009761.9625532423
2305,25.72837276854354
2308,642.3720258122055
2311,4221.533279827995
2313,20.21403118599812
2317,393732.1791789183
2326,80.32625783521996
2329,566.0326650704263
2334,12175.003649972206
2344,80.1676228729225
2348,21.36583851622173
2350,13231.885803451058
2357,285569.05581407173
2358,6096.036412032731
2382,24825.49489873254
2397,172.51144087428176
2398,528.6000717246318
2411,7043.083474845133
2412,7186.301744812998
2426,321.6027295783479
2427,4552.094628813231
2428,1603.2883666131356
2460,199.05625550824283
2495,23.246373584730435
2510,94931.4898016746
2514,9.224198377086433
2554,122088.90892994666
2563,211.90403577281378
2577,159.63236578914066
2616,512.5701202446578
2639,2524.325733485352
2645,200540.28131763462
2648,7025.8964591646845
2649,3487.134192052259
2662,17893.151053643887
2668,119189.14814370144
2687,10186.142918623735
2691,46.793578869364595
2703,65.95354405381048
2706,7037.408293568079
2720,0.0
2725,0.0
2745,4882.9706088801295
2763,16130.092461156655
2765,44335.675429649076
2769,17224.766507559434
2775,0.0
2784,7645.105411742829
2792,169.68328229939914
2793,1984.4355898108995
2802,473.271091387178
2814,70097.03166361226
2816,3.084539646861045
2822,10.382429692767749
2824,436.7686180408773
2833,251.9812540739666
2839,535.1786053737372
2860,5673.622540441993
2867,3096.7463068798465
2880,260428.53050376545
2890,133310.7708774127
2897,755050.7588322444
2902,958070.9550088298
2903,983.3680391395029
2911,84087.57408991322
2914,5019.735943741014
2923,11097.370953277496
2957,702039.54943487
2974,120595.92131363165
2977,21.71874381982599
2981,21687.359620092786
2984,1827.3103645527704
2990,799.5644583813946
2992,2248.2821623334776
